Gene1,Gene2,Confidence Score,Origin
AAEL010168,AAEL009394,1,fly
AAEL009922,AAEL009383,1,fly
AAEL004668,AAEL011012,1,fly
AAEL001378,AAEL002975,1,fly
AAEL002761,AAEL004680,1,fly
AAEL015181,AAEL001422,1,fly
AAEL008508,AAEL010419,1,fly
AAEL012035,AAEL007184,1,fly
AAEL010514,AAEL005309,1,fly
AAEL005077,AAEL011739,1,fly
AAEL011383,AAEL001451,1,fly
AAEL011953,AAEL008577,1,fly
AAEL013518,AAEL005400,1,fly
AAEL005120,AAEL005400,1,fly
AAEL012427,AAEL003246,1,fly
AAEL008703,AAEL013151,1,fly
AAEL009220,AAEL009220,1,fly
AAEL010294,AAEL004846,1,fly
AAEL012156,AAEL006299,1,fly
AAEL004291,AAEL010419,1,fly
AAEL009914,AAEL014169,1,fly
AAEL011093,AAEL010514,1,fly
AAEL006265,AAEL014825,1,fly
AAEL011273,AAEL012973,1,fly
AAEL006523,AAEL007589,1,worm
AAEL005343,AAEL006651,1,worm
AAEL002885,AAEL001476,1,worm
AAEL004173,AAEL007065,1,worm
AAEL002016,AAEL002064,1,worm
AAEL002885,AAEL007658,1,worm
AAEL003013,AAEL012475,1,worm
AAEL006460,AAEL007658,1,worm
AAEL013461,AAEL000378,1,worm
AAEL000568,AAEL007065,1,worm
AAEL002277,AAEL002277,1,worm
AAEL006107,AAEL008073,1,worm
AAEL006107,AAEL009701,1,worm
AAEL010342,AAEL002714,1,worm
AAEL012071,AAEL013858,1,worm
AAEL014718,AAEL012071,1,worm
AAEL008641,AAEL001193,1,worm
AAEL008692,AAEL001416,1,worm
AAEL002016,AAEL009589,1,worm
AAEL004586,AAEL000128,1,worm
AAEL006419,AAEL008888,1,worm
AAEL004586,AAEL009882,1,worm
AAEL010342,AAEL010342,1,worm
AAEL014394,AAEL004494,1,worm
AAEL006107,AAEL002769,1,worm
AAEL013786,AAEL004494,1,worm
AAEL013939,AAEL012723,1,worm
AAEL002714,AAEL002714,1,worm
AAEL002118,AAEL003877,1,worm
AAEL008306,AAEL013823,1,worm
AAEL001574,AAEL004668,1,worm
AAEL006419,AAEL014528,1,worm
AAEL004586,AAEL004838,1,worm
AAEL006712,AAEL002714,1,worm
AAEL004567,AAEL000378,1,worm
AAEL003444,AAEL000081,1,worm
AAEL004586,AAEL005009,1,worm
AAEL012723,AAEL008585,1,worm
AAEL002415,AAEL000378,1,worm
AAEL001603,AAEL012466,1,worm
AAEL008306,AAEL013824,1,worm
AAEL003013,AAEL008634,1,worm
AAEL005655,AAEL003758,1,worm/fly
AAEL000084,AAEL004653,1,worm/fly
AAEL002415,AAEL002678,1,worm/fly
AAEL010744,AAEL011058,1,worm/fly
AAEL010744,AAEL013094,1,worm/fly
AAEL007120,AAEL013094,1,worm/fly
AAEL007120,AAEL011058,1,worm/fly
AAEL012507,AAEL004427,1,yeast/fly
AAEL002832,AAEL006502,1,yeast/fly
AAEL006063,AAEL001506,1,yeast/fly
AAEL013212,AAEL004427,1,yeast/fly
AAEL007100,AAEL012413,1,yeast/fly
AAEL010821,AAEL003530,1,yeast/fly
AAEL005436,AAEL011865,1,yeast/fly
AAEL014169,AAEL013061,1,yeast/fly
AAEL013778,AAEL002184,1,yeast/fly
AAEL008641,AAEL013997,1,yeast/worm
AAEL010077,AAEL011782,1,yeast/worm/fly
AAEL001619,AAEL006697,0.999,fly
AAEL014038,AAEL014038,0.999,fly
AAEL009981,AAEL003393,0.999,fly
AAEL002261,AAEL002261,0.999,fly
AAEL004056,AAEL011529,0.999,fly
AAEL009981,AAEL002827,0.999,fly
AAEL010003,AAEL009469,0.999,fly
AAEL010842,AAEL010244,0.999,fly
AAEL001331,AAEL011912,0.999,fly
AAEL004056,AAEL010572,0.999,fly
AAEL015536,AAEL013800,0.999,fly
AAEL000699,AAEL000755,0.999,fly
AAEL010514,AAEL013914,0.999,fly
AAEL011413,AAEL003103,0.999,fly
AAEL011438,AAEL003215,0.999,fly
AAEL006167,AAEL005829,0.999,fly
AAEL010185,AAEL011098,0.999,fly
AAEL013902,AAEL010168,0.999,fly
AAEL011438,AAEL010546,0.999,fly
AAEL007406,AAEL004333,0.999,fly
AAEL002139,AAEL004473,0.999,fly
AAEL002885,AAEL006460,0.999,worm/fly
AAEL006713,AAEL002818,0.999,worm/fly
AAEL001363,AAEL005355,0.999,yeast
AAEL011834,AAEL001014,0.999,yeast/fly
AAEL012202,AAEL011462,0.999,yeast/fly
AAEL010168,AAEL010829,0.998,fly
AAEL014060,AAEL003660,0.998,fly
AAEL010226,AAEL005508,0.998,fly
AAEL001972,AAEL014850,0.998,fly
AAEL005455,AAEL005400,0.998,fly
AAEL000594,AAEL002139,0.998,fly
AAEL009280,AAEL009458,0.998,fly
AAEL006235,AAEL008379,0.998,fly
AAEL005742,AAEL002934,0.998,fly
AAEL009109,AAEL012507,0.998,fly
AAEL001972,AAEL010019,0.998,fly
AAEL014825,AAEL004995,0.998,fly
AAEL009109,AAEL013212,0.998,fly
AAEL014325,AAEL014915,0.998,yeast/fly
AAEL002935,AAEL003143,0.997,fly
AAEL010226,AAEL006206,0.997,fly
AAEL000844,AAEL003522,0.997,fly
AAEL011093,AAEL005307,0.997,fly
AAEL008418,AAEL008418,0.997,fly
AAEL005307,AAEL005309,0.997,fly
AAEL007640,AAEL004607,0.997,fly
AAEL007291,AAEL014250,0.997,fly
AAEL003163,AAEL011090,0.997,fly
AAEL002009,AAEL008328,0.997,fly
AAEL015123,AAEL006299,0.997,fly
AAEL004338,AAEL002643,0.997,fly
AAEL014046,AAEL014314,0.997,fly
AAEL003552,AAEL008733,0.997,fly
AAEL008469,AAEL004183,0.997,fly
AAEL003606,AAEL003606,0.997,worm/fly
AAEL007988,AAEL008255,0.997,yeast
AAEL001698,AAEL007509,0.997,yeast/fly
AAEL005307,AAEL013914,0.996,fly
AAEL001244,AAEL013845,0.996,fly
AAEL014957,AAEL004763,0.996,fly
AAEL011744,AAEL011361,0.996,fly
AAEL002975,AAEL002975,0.996,fly
AAEL007367,AAEL010611,0.996,fly
AAEL008958,AAEL002084,0.996,fly
AAEL007367,AAEL011689,0.996,fly
AAEL004338,AAEL001555,0.996,fly
AAEL005355,AAEL013061,0.996,yeast
AAEL001363,AAEL004848,0.996,yeast
AAEL005355,AAEL014169,0.996,yeast
AAEL005355,AAEL004848,0.996,yeast
AAEL001363,AAEL014169,0.996,yeast
AAEL013700,AAEL008755,0.996,yeast/fly
AAEL004733,AAEL000270,0.996,yeast/worm/fly
AAEL007029,AAEL003416,0.995,fly
AAEL006518,AAEL006518,0.995,fly
AAEL015584,AAEL004607,0.995,fly
AAEL007566,AAEL014883,0.995,fly
AAEL007566,AAEL013591,0.995,fly
AAEL003611,AAEL002533,0.995,fly
AAEL009407,AAEL004052,0.995,yeast/fly
AAEL003371,AAEL009160,0.995,yeast/fly
AAEL013818,AAEL012348,0.995,yeast/worm/fly
AAEL013818,AAEL015244,0.995,yeast/worm/fly
